facilityid,name,address,city,county,state,address,county_state,zip,capacity,type,securelvl,status,ice_facility,latitude,longitude,historical_90,slow_90,no_90,rapid_90,WFIR_EALT,WFIR_EALS,WFIR_EALR,WFIR_RISKS,WFIR_RISKR
10000143,VENTRESS CORRECTIONAL FACILITY,379 ALABAMA HWY 239 N,CLAYTON,BARBOUR,AL,379 ALABAMA HWY 239 N CLAYTON AL 36016,BARBOUR_AL,36016,1650,STATE,MEDIUM,OPEN,N,31.850223,-85.414706,84.7833,132.625,159.308,125.858,1638.065345,2.178673059,Very Low,1.999049868,Very Low
10000144,EASTERLING CORRECTIONAL FACILITY,200 WALLACE DR,CLIO,BARBOUR,AL,200 WALLACE DR CLIO AL 36017,BARBOUR_AL,36017,1267,STATE,MEDIUM,OPEN,N,31.708922,-85.610883,84.7833,132.625,159.308,125.858,1638.065345,2.178673059,Very Low,1.999049868,Very Low
10003738,EUFAULA CITY JAIL,545 EAST BARBOUR STREET,EUFAULA,BARBOUR,AL,545 EAST BARBOUR STREET EUFAULA AL 36027,BARBOUR_AL,36027,21,LOCAL,NOT AVAILABLE,OPEN,N,31.891518,-85.13519,84.7833,132.625,159.308,125.858,1638.065345,2.178673059,Very Low,1.999049868,Very Low
10001954,BIBB CORRECTIONAL FACILITY,565 BIBB LANE,BRENT,BIBB,AL,565 BIBB LANE BRENT AL 35034,BIBB_AL,35034,1914,STATE,MEDIUM,OPEN,N,32.952195,-87.175745,83.0889,128.133,153.456,121.378,3809.843533,2.886582906,Very Low,1.60785078,Very Low
10001212,BIBB COUNTY JAIL,94 BIBB LANE,BRENT,BIBB,AL,94 BIBB LANE BRENT AL 35034,BIBB_AL,35034,88,COUNTY,NOT AVAILABLE,OPEN,N,32.952195,-87.175745,83.0889,128.133,153.456,121.378,3809.843533,2.886582906,Very Low,1.60785078,Very Low
10001951,BLOUNT COUNTY CORRECTIONAL FACILITY,225 INDUSTRIAL PARK RD,ONEONTA,BLOUNT,AL,225 INDUSTRIAL PARK RD ONEONTA AL 35121,BLOUNT_AL,35121,101,COUNTY,NOT AVAILABLE,OPEN,N,33.929079,-86.489519,64.8526,114.2,141.579,107.326,2837.412398,2.616510465,Very Low,1.957752737,Very Low
10003737,UNION SPRINGS POLICE DEPARTMENT,305 PRAIRIE STREET NORTH,UNION SPRINGS,BULLOCK,AL,305 PRAIRIE STREET NORTH UNION SPRINGS AL 36089,BULLOCK_AL,36089,50,LOCAL,NOT AVAILABLE,OPEN,N,32.139871,-85.714695,84.814,131.628,157.988,124.919,580.3247173,1.5416011,Very Low,1.575482903,Very Low
10006402,BULLOCK COUNTY RED WILLIAMS DETENTION CENTER,NOT AVAILABLE,UNION SPRINGS,BULLOCK,AL,NOT AVAILABLE UNION SPRINGS AL 36089,BULLOCK_AL,36089,50,COUNTY,NOT AVAILABLE,NOT AVAILABLE,N,32.139871,-85.714695,84.814,131.628,157.988,124.919,580.3247173,1.5416011,Very Low,1.575482903,Very Low
10001223,BULLOCK CORRECTIONAL FACILITY,104 BULLOCK DR,UNION SPRINGS,BULLOCK,AL,104 BULLOCK DR UNION SPRINGS AL 36089,BULLOCK_AL,36089,1658,STATE,MEDIUM,OPEN,N,32.139871,-85.714695,84.814,131.628,157.988,124.919,580.3247173,1.5416011,Very Low,1.575482903,Very Low
10003743,BUTLER COUNTY JAIL,800 WALNUT ST,GREENVILLE,BUTLER,AL,800 WALNUT ST GREENVILLE AL 36037,BUTLER_AL,36037,50,COUNTY,NOT AVAILABLE,OPEN,N,31.828269,-86.631597,94.4123,140.342,165.026,133.395,692.0822529,1.634811032,Very Low,2.07312673,Very Low
10003713,OXFORD POLICE DEPARTMENT,600 STANLEY MERRILL DRIVE,OXFORD,CALHOUN,AL,600 STANLEY MERRILL DRIVE OXFORD AL 36203,CALHOUN_AL,36203,50,LOCAL,NOT AVAILABLE,OPEN,N,33.602381,-85.860061,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10003712,COOSA VALLEY YOUTH SERVICES,4625 MCCLELLAN BOULEVARD,ANNISTON,CALHOUN,AL,4625 MCCLELLAN BOULEVARD ANNISTON AL 36204,CALHOUN_AL,36204,48,STATE,JUVENILE,OPEN,N,33.705441,-85.820936,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10003711,JACKSONVILLE PUBLIC SAFETY COMPLEX,911 PUBLIC SAFETY DRIVE SW,JACKSONVILLE,CALHOUN,AL,911 PUBLIC SAFETY DRIVE SW JACKSONVILLE AL 36265,CALHOUN_AL,36265,50,LOCAL,NOT AVAILABLE,OPEN,N,33.81418,-85.76009,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10001202,CALHOUN COUNTY JAIL,400 W 8TH ST,ANNISTON,CALHOUN,AL,400 W 8TH ST ANNISTON AL 36201,CALHOUN_AL,36201,370,COUNTY,MAXIMUM,OPEN,N,33.65509,-85.84777,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10006678,ROBERT E. LEWIS RESIDENTIAL TREATMENT ACADEMY,4629 MCCLELLAN BLVD,ANNISTON,CALHOUN,AL,4629 MCCLELLAN BLVD ANNISTON AL 36206,CALHOUN_AL,36206,30,STATE,JUVENILE,OPEN,N,33.73668,-85.793901,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10006679,COOSA VALLEY YOUTH SERVICES - ATTENTION HOME,4621 MCCLELLAN BLVD,ANNISTON,CALHOUN,AL,4621 MCCLELLAN BLVD ANNISTON AL 36204,CALHOUN_AL,36204,14,STATE,JUVENILE,OPEN,N,33.73668,-85.793901,66.4205,115.727,143.045,109.159,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10003720,CHAMBERS COUNTY DETENTION FACILITY,105 ALABAMA AVENUE WEST,LAFAYETTE,CHAMBERS,AL,105 ALABAMA AVENUE WEST LAFAYETTE AL 36862,CHAMBERS_AL,36862,50,COUNTY,NOT AVAILABLE,OPEN,N,33.652558,-85.93391,71.988,120.819,148.253,114.434,4929.711009,3.145493623,Very Low,3.413891285,Very Low
10006255,CHEROKEE COUNTY DETENTION CENTER,110 CEDAR BLUFF RD,CENTRE,CHEROKEE,AL,110 CEDAR BLUFF RD CENTRE AL 35960,CHEROKEE_AL,35960,114,COUNTY,NOT AVAILABLE,OPEN,N,34.155075,-85.664515,63.8118,112.812,140.094,106.424,2106.486122,2.369197085,Very Low,2.02055465,Very Low
10003723,CHILTON COUNTY JAIL,301 CITY STREET,CLANTON,CHILTON,AL,301 CITY STREET CLANTON AL 35045,CHILTON_AL,35045,180,COUNTY,NOT AVAILABLE,OPEN,N,32.836543,-86.62754,79.0645,125.849,152.215,118.957,6348.673707,3.422231027,Very Low,2.644563432,Very Low
10005698,CHOCTAW COUNTY JAIL,117 SOUTH MULBERRY AVE,BUTLER,CHOCTAW,AL,117 SOUTH MULBERRY AVE BUTLER AL 36904,CHOCTAW_AL,36904,50,COUNTY,NOT AVAILABLE,CLOSED,N,32.076199,-88.225177,97.6444,140.615,164.067,133.711,3724.822338,2.864948656,Very Low,3.071393409,Very Low
10003742,CLARKE COUNTY JAIL,149 CLARKE STREET,GROVE HILL,CLARKE,AL,149 CLARKE STREET GROVE HILL AL 36451,CLARKE_AL,36451,142,COUNTY,NOT AVAILABLE,OPEN,N,31.699605,-87.775481,98.3631,142.799,166.251,135.754,16802.13113,4.733725955,Very Low,5.530211641,Very Low
10003719,CLAY COUNTY DETENTION CENTER,41771 STATE HIGHWAY 77,ASHLAND,CLAY,AL,41771 STATE HIGHWAY 77 ASHLAND AL 36251,CLAY_AL,36251,480,COUNTY,NOT AVAILABLE,OPEN,N,33.273866,-85.833666,57.1099,109.681,139,102.571,5262.752198,3.214790152,Very Low,3.178788973,Very Low
10006401,CLEBURNE COUNTY JAIL,140 LAMBERT DR,HEFLIN,CLEBURNE,AL,140 LAMBERT DR HEFLIN AL 36264,CLEBURNE_AL,36264,50,COUNTY,NOT AVAILABLE,OPEN,N,33.657465,-85.569728,54.1446,107.434,136.855,100.446,5841.978598,3.328651356,Very Low,2.774853937,Very Low
10001227,COFFEE COUNTY JAIL,4 COUNTY COMPLEX,NEW BROCKTON,COFFEE,AL,4 COUNTY COMPLEX NEW BROCKTON AL 36351,COFFEE_AL,36351,126,COUNTY,NOT AVAILABLE,OPEN,N,31.37789,-85.92587,91.219,138.2,163.8,131.324,2166.707825,2.391562708,Very Low,2.151062667,Very Low
10001226,ELBA COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,1620 BOSWELL ST,ELBA,COFFEE,AL,1620 BOSWELL ST ELBA AL 36323,COFFEE_AL,36323,250,STATE,MINIMUM,OPEN,N,31.412387,-86.082345,91.219,138.2,163.8,131.324,2166.707825,2.391562708,Very Low,2.151062667,Very Low
10001195,COLBERT COUNTY JAIL,107 W 4TH ST,TUSCUMBIA,COLBERT,AL,107 W 4TH ST TUSCUMBIA AL 35674,COLBERT_AL,35674,62,COUNTY,NOT AVAILABLE,OPEN,N,34.733425,-87.70724,68.6421,115.526,141.442,109.537,2048.770294,2.347358443,Very Low,2.07870089,Very Low
10006677,TUSCUMBIA CITY JAIL,218 S. DICKSON STREET,TUSCUMBIA,COLBERT,AL,218 S. DICKSON STREET TUSCUMBIA AL 35674,COLBERT_AL,35674,50,LOCAL,NOT AVAILABLE,OPEN,N,34.729797,-87.702196,68.6421,115.526,141.442,109.537,2048.770294,2.347358443,Very Low,2.07870089,Very Low
10006686,TENNESSEE VALLEY JUVENILE DETENTION CENTER,2216 MISSOURI STREET,TUSCUMBIA,COLBERT,AL,2216 MISSOURI STREET TUSCUMBIA AL 35674,COLBERT_AL,35674,25,COUNTY,JUVENILE,OPEN,N,34.724587,-87.700771,68.6421,115.526,141.442,109.537,2048.770294,2.347358443,Very Low,2.07870089,Very Low
10003745,CONECUH COUNTY DETENTION CENTER,104 LIBERTY STREET,EVERGREEN,CONECUH,AL,104 LIBERTY STREET EVERGREEN AL 36401,CONECUH_AL,36401,50,COUNTY,NOT AVAILABLE,OPEN,N,31.435643,-86.954113,95.0672,141.126,165.782,134.134,17735.68211,4.819821494,Very Low,6.721443661,Relatively Low
10003722,COOSA COUNTY JAIL,296 SCHOOL STREET,ROCKFORD,COOSA,AL,296 SCHOOL STREET ROCKFORD AL 35136,COOSA_AL,35136,50,COUNTY,NOT AVAILABLE,OPEN,N,32.888999,-86.220555,74.7717,123.239,150.554,116.413,1718.087625,2.213587831,Very Low,1.900108627,Very Low
10003721,ALEX CITY COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,HIGHWAY 22 WEST,ALEX CITY,COOSA,AL,HIGHWAY 22 WEST ALEX CITY AL 35011,COOSA_AL,35011,346,STATE,MINIMUM,OPEN,N,32.955941,-85.922256,74.7717,123.239,150.554,116.413,1718.087625,2.213587831,Very Low,1.900108627,Very Low
10006400,COVINGTON COUNTY JAIL,290 HILLCREST DRIVE,ANDALUSIA,COVINGTON,AL,290 HILLCREST DRIVE ANDALUSIA AL 36420,COVINGTON_AL,36420,50,COUNTY,NOT AVAILABLE,OPEN,N,31.31356,-86.500634,97.5252,142.489,167.201,135.763,18301.73362,4.870561881,Very Low,5.240335543,Very Low
10005699,CRENSHAW COUNTY JAIL,186 JUSTICE AVENUE,LUVERNE,CRENSHAW,AL,186 JUSTICE AVENUE LUVERNE AL 36049,CRENSHAW_AL,36049,50,COUNTY,NOT AVAILABLE,CLOSED,N,31.710674,-86.261664,92.3474,138.442,163.674,131.621,1185.478142,1.956047991,Very Low,1.687018239,Very Low
10001200,CULLMAN COUNTY DETENTION CENTER,1900 BEECH AVE SE,CULLMAN,CULLMAN,AL,1900 BEECH AVE SE CULLMAN AL 35055,CULLMAN_AL,35055,326,COUNTY,NOT AVAILABLE,OPEN,N,34.150587,-86.830663,62.2632,112.526,140.36,105.579,2450.719744,2.491798224,Very Low,2.07252748,Very Low
10003747,DALEVILLE JAIL,730 SOUTH DALEVILLE AVENUE,DALEVILLE,DALE,AL,730 SOUTH DALEVILLE AVENUE DALEVILLE AL 36322,DALE_AL,36322,50,LOCAL,NOT AVAILABLE,OPEN,N,31.304566,-85.717161,90.4048,137.917,163.798,130.988,1586.954255,2.155773479,Very Low,1.91851758,Very Low
10006399,DALE COUNTY JAIL,124 ADAMS ST,OZARK,DALE,AL,124 ADAMS ST OZARK AL 36360,DALE_AL,36360,116,COUNTY,NOT AVAILABLE,OPEN,N,31.451872,-85.636213,90.4048,137.917,163.798,130.988,1586.954255,2.155773479,Very Low,1.91851758,Very Low
10003730,DALLAS COUNTY JAIL,988 SELFIELD ROAD,SELMA,DALLAS,AL,988 SELFIELD ROAD SELMA AL 36703,DALLAS_AL,36703,180,COUNTY,NOT AVAILABLE,OPEN,N,32.420424,-87.034459,91.1408,135.585,159.972,128.563,774.7118298,1.697442421,Very Low,2.22439692,Very Low
10003695,DEKALB COUNTY JAIL,2801 JORDAN ROAD SOUTHWEST,FORT PAYNE,DEKALB,AL,2801 JORDAN ROAD SOUTHWEST FORT PAYNE AL 35968,DEKALB_AL,35968,235,COUNTY,NOT AVAILABLE,OPEN,N,34.42862,-85.760296,48.3793,100.526,130.19,93.4569,6545.719341,3.457276511,Very Low,3.192236849,Very Low
10000139,DRAPER CORRECTIONAL FACILITY,2828 ALABAMA HWY 143,ELMORE,ELMORE,AL,2828 ALABAMA HWY 143 ELMORE AL 36025,ELMORE_AL,36025,1232,STATE,MEDIUM,CLOSED,N,32.586676,-86.098437,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10001214,ELMORE CORRECTIONAL FACILITY,3520 MARION SPILLWAY ROAD,ELMORE,ELMORE,AL,3520 MARION SPILLWAY ROAD ELMORE AL 36025,ELMORE_AL,36025,1176,STATE,MEDIUM,OPEN,N,32.586676,-86.098437,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10000140,STATON CORRECTIONAL FACILITY,2690 MARION SPILLWAY RD,ELMORE,ELMORE,AL,2690 MARION SPILLWAY RD ELMORE AL 36025,ELMORE_AL,36025,1376,STATE,MEDIUM,OPEN,N,32.586676,-86.098437,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10003728,FRANK LEE COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,5305 INGRAM RD.,DEATSVILLE,ELMORE,AL,5305 INGRAM RD. DEATSVILLE AL 36022,ELMORE_AL,36022,300,STATE,MINIMUM,OPEN,N,32.593844,-86.389624,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10001216,JULIA TUTWILER PRISON FOR WOMEN,8966 US HWY 231 N,WETUMPKA,ELMORE,AL,8966 US HWY 231 N WETUMPKA AL 36092,ELMORE_AL,36092,975,STATE,CLOSE,OPEN,N,32.548064,-86.203673,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10006241,JULIA TUTWILER PRISON FOR WOMEN ANNEX,8966 US HWY 231 N,WETUMPKA,ELMORE,AL,8966 US HWY 231 N WETUMPKA AL 36092,ELMORE_AL,36092,250,STATE,MEDIUM,OPEN,N,32.548064,-86.203673,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10006466,TALLASSEE POLICE DEPARTMENT,214 BARNETT BLVD,TALLASSEE,ELMORE,AL,214 BARNETT BLVD TALLASSEE AL 36078,ELMORE_AL,36078,50,LOCAL,NOT AVAILABLE,NOT AVAILABLE,N,32.537266,-85.897579,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10001215,ELMORE COUNTY JAIL,8955 US HWY 231,WETUMPKA,ELMORE,AL,8955 US HWY 231 WETUMPKA AL 36092,ELMORE_AL,36092,50,COUNTY,NOT AVAILABLE,OPEN,N,32.548064,-86.203673,80.5545,128.01,154.614,121.327,5909.714726,3.341466883,Very Low,2.231162973,Very Low
10001228,ESCAMBIA COUNTY JAIL,316 COURT ST,BREWTON,ESCAMBIA,AL,316 COURT ST BREWTON AL 36426,ESCAMBIA_AL,36426,50,COUNTY,NOT AVAILABLE,OPEN,N,31.106807,-87.072472,98.1318,143.473,167.783,136.705,180353.9064,10.44215591,Relatively Low,10.85974769,Relatively Low
10001957,FOUNTAIN CORRECTIONAL FACILITY,9677 AL HWY 21 N,ATMORE,ESCAMBIA,AL,9677 AL HWY 21 N ATMORE AL 36503,ESCAMBIA_AL,36503,1613,STATE,MEDIUM,OPEN,N,31.140486,-87.463437,98.1318,143.473,167.783,136.705,180353.9064,10.44215591,Relatively Low,10.85974769,Relatively Low
10000149,HOLMAN CORRECTIONAL FACILITY,866 ROSS RD,ATMORE,ESCAMBIA,AL,866 ROSS RD ATMORE AL 36503,ESCAMBIA_AL,36503,1002,STATE,CLOSE,OPEN,N,31.134577,-87.449986,98.1318,143.473,167.783,136.705,180353.9064,10.44215591,Relatively Low,10.85974769,Relatively Low
10000147,ATMORE COMMUNITY WORK CENTER,9947 STATE HWY 21 N,ATMORE,ESCAMBIA,AL,9947 STATE HWY 21 N ATMORE AL 36503,ESCAMBIA_AL,36503,112,STATE,MINIMUM,CLOSED,N,31.140486,-87.463437,98.1318,143.473,167.783,136.705,180353.9064,10.44215591,Relatively Low,10.85974769,Relatively Low
10003751,ATMORE JAIL,201 EAST LOUISVILLE AVENUE,ATMORE,ESCAMBIA,AL,201 EAST LOUISVILLE AVENUE ATMORE AL 36502,ESCAMBIA_AL,36502,50,LOCAL,NOT AVAILABLE,OPEN,N,31.024229,-87.493184,98.1318,143.473,167.783,136.705,180353.9064,10.44215591,Relatively Low,10.85974769,Relatively Low
10000131,ETOWAH COUNTY DETENTION CENTER,827 FORREST AVE,GADSDEN,ETOWAH,AL,827 FORREST AVE GADSDEN AL 35901,ETOWAH_AL,35901,50,COUNTY,MAXIMUM,OPEN,Y,34.016526,-86.012364,63.375,112.65,140.1,106.012,2287.79338,2.435308148,Very Low,2.439763711,Very Low
10006256,FAYETTE COUNTY JAIL,113 1ST AVE NW,FAYETTE,FAYETTE,AL,113 1ST AVE NW FAYETTE AL 35555,FAYETTE_AL,35555,50,COUNTY,NOT AVAILABLE,OPEN,N,33.692951,-87.831235,75.8229,121.948,147.052,115.385,640.2110694,1.592903189,Very Low,1.717196046,Very Low
10003705,RUSSELLVILLE CITY JAIL,400 JACKSON AVENUE NORTH,RUSSELLVILLE,FRANKLIN,AL,400 JACKSON AVENUE NORTH RUSSELLVILLE AL 35653,FRANKLIN_AL,35653,50,LOCAL,NOT AVAILABLE,OPEN,N,34.532199,-87.717165,65.2778,113.389,140.078,106.822,3561.94568,2.822565872,Very Low,2.973883325,Very Low
10003703,RED BAY CITY JAIL,112 5TH AVENUE SOUTHEAST,RED BAY,FRANKLIN,AL,112 5TH AVENUE SOUTHEAST RED BAY AL 35582,FRANKLIN_AL,35582,50,LOCAL,NOT AVAILABLE,OPEN,N,34.436727,-88.135678,65.2778,113.389,140.078,106.822,3561.94568,2.822565872,Very Low,2.973883325,Very Low
10003704,FRANKLIN COUNTY DETENTION CENTER,748 WALNUT GATE ROAD,RUSSELLVILLE,FRANKLIN,AL,748 WALNUT GATE ROAD RUSSELLVILLE AL 35654,FRANKLIN_AL,35654,220,COUNTY,NOT AVAILABLE,OPEN,N,34.505823,-87.731036,65.2778,113.389,140.078,106.822,3561.94568,2.822565872,Very Low,2.973883325,Very Low
10003752,GENEVA COUNTY JAIL,200 NORTH COMMERCE STREET,GENEVA,GENEVA,AL,200 NORTH COMMERCE STREET GENEVA AL 36340,GENEVA_AL,36340,50,COUNTY,NOT AVAILABLE,OPEN,N,31.040029,-85.866264,89.9559,138.176,163.897,131.265,3091.347126,2.692346262,Very Low,2.636332483,Very Low
10005695,GREENE COUNTY JAIL,951 FINCHES FERRY ROAD,EUTAW,GREENE,AL,951 FINCHES FERRY ROAD EUTAW AL 35462,GREENE_AL,35462,50,COUNTY,NOT AVAILABLE,OPEN,N,32.835058,-87.885648,90.7959,133.561,157.01,126.898,362.460382,1.317756509,Very Low,1.754735513,Very Low
10000137,FARQUHAR CATTLE RANCH,1132 COUNTY RD 73,GREENSBORO,HALE,AL,1132 COUNTY RD 73 GREENSBORO AL 36744,HALE_AL,36744,50,STATE,MINIMUM,CLOSED,N,32.703187,-87.591536,92.1546,135.186,158.845,128.381,685.5809205,1.62967585,Very Low,1.939190942,Very Low
10001213,HALE COUNTY JAIL,70 CORRECTION DR,GREENSBORO,HALE,AL,70 CORRECTION DR GREENSBORO AL 36744,HALE_AL,36744,91,COUNTY,NOT AVAILABLE,OPEN,N,32.703187,-87.591536,92.1546,135.186,158.845,128.381,685.5809205,1.62967585,Very Low,1.939190942,Very Low
10003744,HENRY COUNTY JAIL,106 E. WILLIAMS ST.,ABBEVILLE,HENRY,AL,106 E. WILLIAMS ST. ABBEVILLE AL 30310,HENRY_AL,30310,50,COUNTY,NOT AVAILABLE,OPEN,N,31.570753,-85.246926,90.3529,137.859,163.718,131.388,1280.703679,2.007079343,Very Low,2.027102547,Very Low
10001956,DOTHAN CITY JAIL,210 N ST. ANDREWS ST,DOTHAN,HOUSTON,AL,210 N ST. ANDREWS ST DOTHAN AL 36303,HOUSTON_AL,36303,50,LOCAL,NOT AVAILABLE,OPEN,N,31.226987,-85.39162,95.9639,142.361,167.145,136.048,2129.071961,2.377634546,Very Low,2.222045144,Very Low
10003750,HOUSTON COUNTY JAIL,901 EAST MAIN STREET,DOTHAN,HOUSTON,AL,901 EAST MAIN STREET DOTHAN AL 36301,HOUSTON_AL,36301,50,COUNTY,NOT AVAILABLE,OPEN,N,31.219943,-85.368972,95.9639,142.361,167.145,136.048,2129.071961,2.377634546,Very Low,2.222045144,Very Low
10006680,HOUSTON COUNTY WORK RELEASE FACILITY,164 NORTH OATES STREET,DOTHAN,HOUSTON,AL,164 NORTH OATES STREET DOTHAN AL 36303,HOUSTON_AL,36303,50,COUNTY,NOT AVAILABLE,OPEN,N,31.226519,-85.39378,95.9639,142.361,167.145,136.048,2129.071961,2.377634546,Very Low,2.222045144,Very Low
10006398,JACKSON COUNTY JAIL,545 PARKS AVE,SCOTTSBORO,JACKSON,AL,545 PARKS AVE SCOTTSBORO AL 35768,JACKSON_AL,35768,208,COUNTY,NOT AVAILABLE,OPEN,N,34.666002,-86.0387,51.9814,103.317,132.13,96.5528,2922.123305,2.64229418,Very Low,2.325291516,Very Low
10006467,TRUSSVILLE CITY JAIL,131 MAIN STREET,TRUSSVILLE,JEFFERSON,AL,131 MAIN STREET TRUSSVILLE AL 35173,JEFFERSON_AL,35173,32,LOCAL,NOT AVAILABLE,OPEN,N,33.62494,-86.601419,76.2625,122.5,148.4,115.706,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10001204,BIRMINGHAM COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,1216 25TH ST N,BIRMINGHAM,JEFFERSON,AL,1216 25TH ST N BIRMINGHAM AL 35234,JEFFERSON_AL,35234,312,STATE,MINIMUM,OPEN,N,33.537686,-86.812329,76.2625,122.5,148.4,115.706,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10000132,DONALDSON CORRECTIONAL FACILITY,100 WARRIOR LN,BESSEMER,JEFFERSON,AL,100 WARRIOR LN BESSEMER AL 35023,JEFFERSON_AL,35023,1760,STATE,CLOSE,OPEN,N,33.400614,-86.953152,76.2625,122.5,148.4,115.706,7811.279908,3.667096925,Very Low,3.225738589,Very Low
