Facility ID,Facility Name,Address,City,ZIP Code,CountyName,State,county_state,address,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,geolocated-address,latitude-comma,longitude-comma,latitude,longitude, historical_90 , slow_90 , no_90 , rapid_90 ,WFIR_EALT,WFIR_EALS,WFIR_EALR,WFIR_RISKS,WFIR_RISKR
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,35903,ETOWAH,AL,ETOWAH_AL,1007 GOODYEAR AVENUE GADSDEN AL 35903,Hours of physical-restraint use,0,0,4584,Hours of seclusion use,0,0,4584,"Goodyear Ave, Gadsden, AL, USA","34,001,949","-85,950,382",34.001949,-85.950382,63.375,112.65,140.1,106.0125,2287.79338,2.435308148,Very Low,2.439763711,Very Low
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,35901,ETOWAH,AL,ETOWAH_AL,600 SOUTH THIRD STREET GADSDEN AL 35901,Hours of physical-restraint use,0,0,1769,Hours of seclusion use,0,0,1769,"600 South Third Street, Gadsden, AL, USA","34,004,263","-86,003,347",34.004263,-86.003347,63.375,112.65,140.1,106.0125,2287.79338,2.435308148,Very Low,2.439763711,Very Low
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,36340,GENEVA,AL,GENEVA_AL,1200 W MAPLE AVENUE GENEVA AL 36340,Hours of physical-restraint use,0,0,269,Hours of seclusion use,0,0,269,"1200 West Maple Avenue, Geneva, AL, USA","31,049,297","-85,892,129",31.049297,-85.892129,89.95588,138.1765,163.8971,131.2647,3091.347126,2.692346262,Very Low,2.636332483,Very Low
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,36027,BARBOUR,AL,BARBOUR_AL,820 W WASHINGTON ST EUFAULA AL 36027,Hours of physical-restraint use,0,0,1945,Hours of seclusion use,0,0,1945,"820 West Washington Street, Eufaula, AL, USA","31,888,649","-85,156,199",31.888649,-85.156199,84.78333,132.625,159.3083,125.8583,1638.065345,2.178673059,Very Low,1.999049868,Very Low
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,36207,CALHOUN,AL,CALHOUN_AL,400 EAST 10TH STREET ANNISTON AL 36207,Hours of physical-restraint use,0,0,2134,Hours of seclusion use,0,0,2134,"400 East 10th Street, Anniston, AL, USA","3,365,558","-85,822,631",33.65558,-85.822631,66.42046,115.7273,143.0455,109.1591,4399.625742,3.028448785,Very Low,2.843367612,Very Low
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,35601,MORGAN,AL,MORGAN_AL,1201 7TH STREET SE DECATUR AL 35601,Hours of physical-restraint use,0.05,13.16,11895,Hours of seclusion use,0.04,12.17,11895,"1201 7th Street Southeast, Decatur, AL, USA","34,591,133","-86,971,641",34.591133,-86.971641,62.3908,111.4828,139.1379,104.7586,1678.269906,2.196353588,Very Low,1.845489988,Very Low
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,35594,FAYETTE,AL,FAYETTE_AL,1530 U S HIGHWAY 43 WINFIELD AL 35594,Hours of physical-restraint use,0,0,2393,Hours of seclusion use,0,0,2393,"Winfield, AL, USA","33,928,212","-87,800,615",33.928212,-87.800615,75.82291,121.9479,147.0521,115.3854,640.2110694,1.592903189,Very Low,1.717196046,Very Low
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,35502,WALKER,AL,WALKER_AL,3400 HIGHWAY 78 EAST JASPER AL 35502,Hours of physical-restraint use,0,0,10565,Hours of seclusion use,0,0,10565,"Jasper, AL, USA","33,837,731","-87,264,946",33.837731,-87.264946,73.44715,120.2358,146.0406,113.4553,3020.33303,2.671570256,Very Low,2.656843693,Very Low
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,36451,CLARKE,AL,CLARKE_AL,295 JACKSON HWY S GROVE HILL AL 36451,Hours of physical-restraint use,0,0,1900,Hours of seclusion use,0,0,1900,"Grove Hill, AL, USA","31,699,605","-87,775,481",31.699605,-87.775481,98.36313,142.7989,166.2514,135.7542,16802.13113,4.733725955,Very Low,5.530211641,Very Low
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,35401,TUSCALOOSA,AL,TUSCALOOSA_AL,809 UNIVERSITY BOULEVARD EAST TUSCALOOSA AL 35401,Hours of physical-restraint use,0.25,99,16595,Hours of seclusion use,0.11,45,16595,"809 University Blvd E, Tuscaloosa, AL, USA","33,205,212","-87,525,457",33.205212,-87.525457,83.51309,127.9162,152.4974,121.2199,7819.260207,3.668345315,Very Low,2.823324869,Very Low
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,35211,JEFFERSON,AL,JEFFERSON_AL,701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM AL 35211,Hours of physical-restraint use,0,0,14472,Hours of seclusion use,0,0,14472,"701 Princeton Avenue Southwest, Birmingham, AL, USA","33,498,659","-86,846,501",33.498659,-86.846501,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,35243,JEFFERSON,AL,JEFFERSON_AL,3690 GRANDVIEW PARKWAY BIRMINGHAM AL 35243,Hours of physical-restraint use,0.5,46.75,3890,Hours of seclusion use,0,0,3890,"3690 Grandview Parkway, Birmingham, AL, USA","3,343,323","-86,718,377",33.43323,-86.718377,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,36089,BULLOCK,AL,BULLOCK_AL,102 WEST CONECUH AVENUE UNION SPRINGS AL 36089,Hours of physical-restraint use,0,0,8876,Hours of seclusion use,0.52,110,8876,"West Conecuh Avenue, Union Springs, AL, USA","32,143,356","-857,141",32.143356,-85.7141,84.81396,131.6279,157.9884,124.9186,580.3247173,1.5416011,Very Low,1.575482903,Very Low
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,MARENGO,AL,MARENGO_AL,105 HIGHWAY 80 EAST DEMOPOLIS AL 36732,Hours of physical-restraint use,0.64,69.63,4548,Hours of seclusion use,1.71,186.33,4548,"105 Highway 80 East, Demopolis, AL, USA","32,504,904","-87,836,968",32.504904,-87.836968,94.02817,137.5282,161.3169,130.5352,716.4789564,1.653799293,Very Low,1.887414325,Very Low
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,36607,MOBILE,AL,MOBILE_AL,5 MOBILE INFIRMARY CIRCLE MOBILE AL 36607,Hours of physical-restraint use,0.06,8.58,5996,Hours of seclusion use,0,0,5996,"5 Mobile Infirmary Cir, Mobile, AL, USA","30,699,225","-88,079,477",30.699225,-88.079477,93.23563,140.7644,165.546,133.931,2749049.306,25.89062286,Relatively Moderate,23.79001515,Relatively Moderate
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,35021,JEFFERSON,AL,JEFFERSON_AL,995 9TH AVENUE SOUTHWEST BESSEMER AL 35021,Hours of physical-restraint use,0.77,42.71,2299,Hours of seclusion use,0,0,2299,"995 9th Ave Southwest, Bessemer, AL, USA","33,372,517","-86,990,428",33.372517,-86.990428,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,35565,WINSTON,AL,WINSTON_AL,42024 HIGHWAY 195 E HALEYVILLE AL 35565,Hours of physical-restraint use,0,0,1741,Hours of seclusion use,0,0,1741,"42024 Highway 195 East, Haleyville, AL, USA","34,242,085","-87,591,734",34.242085,-87.591734,62.30337,112.1348,139.7528,105.0899,2130.547297,2.378183612,Very Low,2.550549212,Very Low
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,36081,PIKE,AL,PIKE_AL,1330 HIGHWAY 231 SOUTH TROY AL 36081,Hours of physical-restraint use,0,0,4064,Hours of seclusion use,0,0,4064,"Troy, AL, USA","3,179,822","-85,968,781",31.79822,-85.968781,89.30769,136.4615,162.0659,129.5824,572.1530037,1.534330964,Very Low,1.416760894,Very Low
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,36507,BALDWIN,AL,BALDWIN_AL,1815 HAND AVENUE BAY MINETTE AL 36507,Hours of physical-restraint use,0,0,4540,Hours of seclusion use,0,0,4540,"1815 Hand Avenue, Bay Minette, AL, USA","30,903,582","-87,785,194",30.903582,-87.785194,95.75641,141.6154,166.2308,135.0299,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,35209,JEFFERSON,AL,JEFFERSON_AL,2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM AL 35209,Hours of physical-restraint use,0.34,237.12,28906,Hours of seclusion use,0,0,28906,"Birmingham, AL, USA","33,530,651","-86,800,929",33.530651,-86.800929,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,36037,BUTLER,AL,BUTLER_AL,29 L V STABLER DRIVE GREENVILLE AL 36037,Hours of physical-restraint use,0,0,3194,Hours of seclusion use,0,0,3194,"Greenville, AL, USA","31,828,269","-86,631,597",31.828269,-86.631597,94.41228,140.3421,165.0263,133.3947,692.0822529,1.634811032,Very Low,2.07312673,Very Low
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,35661,COLBERT,AL,COLBERT_AL,201 WEST AVALON AVENUE MUSCLE SHOALS AL 35661,Hours of physical-restraint use,0,0,3908,Hours of seclusion use,0,0,3908,"201 West Avalon Avenue, Muscle Shoals, AL, USA","34,747,388","-87,676,528",34.747388,-87.676528,68.64211,115.5263,141.4421,109.5368,2048.770294,2.347358443,Very Low,2.07870089,Very Low
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,35150,TALLADEGA,AL,TALLADEGA_AL,315 W HICKORY ST SYLACAUGA AL 35150,Hours of physical-restraint use,0,0,2140,Hours of seclusion use,0,0,2140,"315 West Hickory Street, Sylacauga, AL, USA","33,164,603","-86,254,924",33.164603,-86.254924,78.36364,125.1636,151.2364,118.4273,5387.735063,3.240040205,Very Low,3.045139043,Very Low
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,35212,JEFFERSON,AL,JEFFERSON_AL,6869 FIFTH AVENUE SOUTH BIRMINGHAM AL 35212,Hours of physical-restraint use,0.03,14.85,20878,Hours of seclusion use,0,0,20878,"Birmingham, AL, USA","33,530,651","-86,800,929",33.530651,-86.800929,76.2625,122.5,148.4,115.7063,7811.279908,3.667096925,Very Low,3.225738589,Very Low
14006,MOUNTAIN VIEW HOSPITAL,3201 SCENIC HIGHWAY,GADSDEN,35902,ETOWAH,AL,ETOWAH_AL,3201 SCENIC HIGHWAY GADSDEN AL 35902,Hours of physical-restraint use,0.07,9.85,6090,Hours of seclusion use,0,0,6090,"Scenic Highway, Gadsden, AL, USA","34,066,316","-86,023,072",34.066316,-86.023072,63.375,112.65,140.1,106.0125,2287.79338,2.435308148,Very Low,2.439763711,Very Low
14007,BRYCE HOSPITAL,200 UNIVERSITY BLVD,TUSCALOOSA,35401,TUSCALOOSA,AL,TUSCALOOSA_AL,200 UNIVERSITY BLVD TUSCALOOSA AL 35401,Hours of physical-restraint use,0.22,150.91,29063,Hours of seclusion use,0.03,22.65,29063,"University Blvd, Tuscaloosa, AL, USA","33,210,493","-87,566,225",33.210493,-87.566225,83.51309,127.9162,152.4974,121.2199,7819.260207,3.668345315,Very Low,2.823324869,Very Low
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BLVD,TUSCALOOSA,35401,TUSCALOOSA,AL,TUSCALOOSA_AL,201 UNIVERSITY BLVD TUSCALOOSA AL 35401,Hours of physical-restraint use,0,1.14,29807,Hours of seclusion use,0.02,14.12,29807,"University Blvd, Tuscaloosa, AL, USA","33,210,493","-87,566,225",33.210493,-87.566225,83.51309,127.9162,152.4974,121.2199,7819.260207,3.668345315,Very Low,2.823324869,Very Low
14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,36693,MOBILE,AL,MOBILE_AL,5800 SOUTHLAND DRIVE MOBILE AL 36693,Hours of physical-restraint use,0.14,53.24,16357,Hours of seclusion use,0.13,51,16357,"5800 Southland Dr, Mobile, AL, USA","30,624,781","-88,177,874",30.624781,-88.177874,93.23563,140.7644,165.546,133.931,2749049.306,25.89062286,Relatively Moderate,23.79001515,Relatively Moderate
14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,36049,CRENSHAW,AL,CRENSHAW_AL,150 HOSPITAL DRIVE LUVERNE AL 36049,Hours of physical-restraint use,0.07,9.6,5819,Hours of seclusion use,0.08,10.5,5819,"Luverne, AL, USA","31,710,674","-86,261,664",31.710674,-86.261664,92.34737,138.4421,163.6737,131.621,1185.478142,1.956047991,Very Low,1.687018239,Very Low
14016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",CULLMAN,35055,CULLMAN,AL,CULLMAN_AL,"1910 CHEROKEE AVENUE, SW CULLMAN AL 35055",Hours of physical-restraint use,0,0,1423,Hours of seclusion use,0,0,1423,"1910 Cherokee Avenue Southwest, Cullman, AL, USA","34,150,932","-86,846,112",34.150932,-86.846112,62.26316,112.5263,140.3596,105.5789,2450.719744,2.491798224,Very Low,2.07252748,Very Low
14017,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,36526,BALDWIN,AL,BALDWIN_AL,7400 ROPER LANE DAPHNE AL 36526,Hours of physical-restraint use,0.03,9.02,14443,Hours of seclusion use,1.06,366.4,14443,"7400 Roper Lane, Daphne, AL, USA","30,635,294","-87,895,223",30.635294,-87.895223,95.75641,141.6154,166.2308,135.0299,1195503.845,19.61546681,Relatively Moderate,16.50134966,Relatively Moderate
14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW",HUNTSVILLE,35806,MADISON,AL,MADISON_AL,"5315 MILLENIUM DRIVE, NW HUNTSVILLE AL 35806",Hours of physical-restraint use,0,0,2499,Hours of seclusion use,0,0,2499,"Huntsville, AL, USA","34,756,007","-86,616,034",34.756007,-86.616034,56.525,106.9333,135.4833,100.2333,1941.565225,2.305679742,Very Low,1.378789015,Very Low
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,99801,JUNEAU,AK,JUNEAU_AK,3260 HOSPITAL DR JUNEAU AK 99801,Hours of physical-restraint use,0.01,0.31,2330,Hours of seclusion use,1.66,92.58,2330,"3260 Hospital Drive, Juneau, AK, USA","5,832,887","-134,464,581",58.32887,-134.464581,#N/A,#N/A,#N/A,#N/A,0,0,Insufficient Data,0,Insufficient Data
24001,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,99508,ANCHORAGE,AK,ANCHORAGE_AK,2530 DEBARR RD ANCHORAGE AK 99508,Hours of physical-restraint use,0.1,63.65,25752,Hours of seclusion use,0.15,94.17,25752,"2530 Debarr Rd, Anchorage, AK, USA","61,208,157","-149,833,801",61.208157,-149.833801,#N/A,#N/A,#N/A,#N/A,0,0,Insufficient Data,0,Insufficient Data
24002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,99508,ANCHORAGE,AK,ANCHORAGE_AK,3700 PIPER STREET ANCHORAGE AK 99508,Hours of physical-restraint use,0.14,57.9,17720,Hours of seclusion use,0.39,167.12,17720,"3700 Piper St, Anchorage, AK, USA","61,185,526","-149,829,488",61.185526,-149.829488,#N/A,#N/A,#N/A,#N/A,0,0,Insufficient Data,0,Insufficient Data
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,85006,MARICOPA,AZ,MARICOPA_AZ,1111 EAST MCDOWELL ROAD PHOENIX AZ 85006,Hours of physical-restraint use,0.07,11.98,6882,Hours of seclusion use,0.01,1.25,6882,"1111 East McDowell Road, Phoenix, AZ, USA","334,648","-11,205,847",33.4648,-112.05847,124.3175,157.1606,171.3447,151.6629,12285488.31,42.64608124,Relatively High,41.92499135,Relatively High
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,85712,PIMA,AZ,PIMA_AZ,5301 EAST GRANT ROAD TUCSON AZ 85712,Hours of physical-restraint use,0,0,3062,Hours of seclusion use,0,0,3062,"5301 East Grant Road, Tucson, AZ, USA","32,252,535","-110,877,516",32.252535,-110.877516,105.0228,143.895,165.3554,137.446,15729410.06,46.30762065,Relatively High,56.4766309,Very High
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,85745,PIMA,AZ,PIMA_AZ,1601 WEST ST MARY'S ROAD TUCSON AZ 85745,Hours of physical-restraint use,0,0,8904,Hours of seclusion use,0,0,8904,"Tucson, AZ, USA","3,219,709","-110,828,987",32.19709,-110.828987,105.0228,143.895,165.3554,137.446,15729410.06,46.30762065,Relatively High,56.4766309,Very High
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,85711,PIMA,AZ,PIMA_AZ,350 NORTH WILMOT ROAD TUCSON AZ 85711,Hours of physical-restraint use,0.01,1.12,6245,Hours of seclusion use,0,0,6245,"350 North Wilmot Road, Tucson, AZ, USA","32,227,878","-11,085,474",32.227878,-110.85474,105.0228,143.895,165.3554,137.446,15729410.06,46.30762065,Relatively High,56.4766309,Very High
30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,85008,MARICOPA,AZ,MARICOPA_AZ,2601 EAST ROOSEVELT STREET PHOENIX AZ 85008,Hours of physical-restraint use,1.74,4253.91,101857,Hours of seclusion use,0.42,1033.41,101857,"2601 East Roosevelt Street, Phoenix, AZ, USA","33,457,125","-11,202,694",33.457125,-112.02694,124.3175,157.1606,171.3447,151.6629,12285488.31,42.64608124,Relatively High,41.92499135,Relatively High
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,86001,COCONINO,AZ,COCONINO_AZ,1200 NORTH BEAVER STREET FLAGSTAFF AZ 86001,Hours of physical-restraint use,0,0.05,3504,Hours of seclusion use,0,0,3504,"1200 N Beaver St, Flagstaff, AZ, USA","35,208,584","-111,645,088",35.208584,-111.645088,12.92054,47.80816,81.86328,39.99678,19290808.24,49.56766529,Relatively High,57.87205281,Very High
30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,85006,MARICOPA,AZ,MARICOPA_AZ,1800 EAST VAN BUREN STREET PHOENIX AZ 85006,Hours of physical-restraint use,Not Available,Not Available,Not Available,Hours of seclusion use,Not Available,Not Available,Not Available,"1800 East Van Buren Street, Phoenix, AZ, USA","33,454,912","-112,042,777",33.454912,-112.042777,124.3175,157.1606,171.3447,151.6629,12285488.31,42.64608124,Relatively High,41.92499135,Relatively High
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,85635,COCHISE,AZ,COCHISE_AZ,5700 EAST HIGHWAY 90 SIERRA VISTA AZ 85635,Hours of physical-restraint use,0.07,6.55,4101,Hours of seclusion use,0.15,15.05,4101,"5700 East Highway 90, Sierra Vista, AZ, USA","31,553,219","-110,229,735",31.553219,-110.229735,34.23303,88.71832,125.4197,79.98982,2784541.195,26.00156797,Relatively Moderate,33.08529073,Relatively High
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,85901,NAVAJO,AZ,NAVAJO_AZ,2200 EAST SHOW LOW LAKE ROAD SHOW LOW AZ 85901,Hours of physical-restraint use,0.06,2.04,1421,Hours of seclusion use,0,0,1421,"2200 East Show Low Lake Road, Show Low, AZ, USA","34,202,889","-110,018,075",34.202889,-110.018075,7.380531,45.04288,84.43022,36.37032,12697925.32,43.11806323,Relatively High,74.83078287,Very High
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,85306,MARICOPA,AZ,MARICOPA_AZ,5555 WEST THUNDERBIRD ROAD GLENDALE AZ 85306,Hours of physical-restraint use,0.18,57.02,13148,Hours of seclusion use,0,0.92,13148,"5555 W Thunderbird Rd, Glendale, AZ, USA","33,609,189","-11,217,915",33.609189,-112.17915,124.3175,157.1606,171.3447,151.6629,12285488.31,42.64608124,Relatively High,41.92499135,Relatively High
30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,85375,MARICOPA,AZ,MARICOPA_AZ,14502 WEST MEEKER BOULEVARD SUN CITY WEST AZ 85375,Hours of physical-restraint use,0.01,2.57,14521,Hours of seclusion use,0,0,14521,"14502 West Meeker Boulevard, Sun City West, AZ, USA","33,660,183","-112,372,098",33.660183,-112.372098,124.3175,157.1606,171.3447,151.6629,12285488.31,42.64608124,Relatively High,41.92499135,Relatively High
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,85713,PIMA,AZ,PIMA_AZ,2800 EAST AJO WAY TUCSON AZ 85713,Hours of physical-restraint use,0,0.18,3340,Hours of seclusion use,0.01,0.63,3340,"2800 E Ajo Wy, Tucson, AZ, USA","32,175,798","-110,930,692",32.175798,-110.930692,105.0228,143.895,165.3554,137.446,15729410.06,46.30762065,Relatively High,56.4766309,Very High
